¸®¹ë·±½Ì³¯Â¥,ÆÝµå¼³¸í,US9229087369,KR7332500008,US4642861037,US4642871762,US78468R6229,KR7365780006,KR7438570004,KR7471230003,KR7152380002,US46090F1003,US78463V1070,KR7411060007,US9229085538,US9220426764,US78463X8552
2023-11-29,MS STABLE,0.131522204,0.010002143,0.003656401,0.071312765,0.035656382,0.170757713,0.170757713,0.170757713,0.170757713,0.0026977,0.027014225,0.027014225,0.0026977,0.0026977,0.0026977
2023-11-29,MS GROWTH,0.488511044,0.037150816,0.013580919,0.019859251,0.009929625,0.047552781,0.047552781,0.047552781,0.047552781,0.01002003,0.10033855,0.10033855,0.01002003,0.01002003,0.01002003
