¸®¹ë·±½Ì³¯Â¥,ÆÝµå¼³¸í,US9229087369,KR7332500008,US4642861037,US4642871762,US78468R6229,KR7365780006,KR7438570004,KR7471230003,KR7152380002,US46090F1003,US78463V1070,KR7411060007,US46436F1030,US9229085538,US9220426764,US78463X8552
2023-12-29,MS STABLE,0.118058766,0.012493438,0.005059152,0.07642568,0.11463852,0.15223395,0.15223395,0.15223395,0.15223395,0.002529576,0.018090113,0.018090113,0.018090113,0.002529576,0.002529576,0.002529576
2023-12-29,MS GROWTH,0.472235062,0.049973753,0.020236609,0.01910642,0.02865963,0.038058487,0.038058487,0.038058487,0.038058487,0.010118305,0.072360453,0.072360453,0.072360453,0.010118305,0.010118305,0.010118305
