"ac","A","S","C","A_raw","S_raw","C_raw"
"FX",0,0,-3.83839268612794e-09,0,0,-3.87569363397489e-09
"국내주식",1.46584063760632,-6.49301732669436,-1.46584059490373,1.5424530221485,-6.78942385425153,-1.54245297715398
"국내채권",0.0466185397657221,0.127456890878667,-0.0466185403707284,0.0450794158863929,0.122585762912662,-0.0450794165227039
"대체투자",0,0,0,0,0,0
"모펀드",0,0,0,0,0,0
"유동성",-0.0175419920336329,-0.027059402756464,0.0175419735129556,-0.0175567401720686,-0.0270840994252565,0.0175567217919708
"해외주식",0.131859907034915,0.262144489253732,-0.131859908442911,0.141192437711888,0.172494092931526,-0.141192438963187
"해외채권",-0.00693885011401404,-0.00348191435604175,0.00693884810601078,-0.00708046583621784,-0.00411022017558593,0.00708046391286035
