"dt","ap","bm","ex_simple","ex_rel","cf"
2026-01-02,0.00824019220109741,0.00721980908560191,0.00102038311549549,0.00101306895107833,0.992831942918215
2026-01-05,0.0141813432297112,0.0116207472138399,0.00256059601587122,0.00253118179211254,0.988512743292434
2026-01-06,0.0103007446823971,0.00692483334405279,0.00337591133834434,0.0033526944877631,0.993122790187781
2026-01-07,0.00558886708954688,-0.000227781588731845,0.00581664867827872,0.00581797390561811,1.000227833485
2026-01-08,-0.00123323705392662,-0.00100576004735474,-0.000227477006571885,-0.000227706024193641,1.00100677261939
2026-01-09,0.00225348580627269,0.004258120666007,-0.00200463485973431,-0.00199613507571628,0.995759934046462
2026-01-12,0.007049315699757,0.00359028030976308,0.00345903538999392,0.00344666091119006,0.996422563689386
2026-01-13,0.0116859477294473,0.00293305587351027,0.00875289185593707,0.00872729421438145,0.997075521784466
2026-01-14,0.00159186514809042,0.000807461608982648,0.000784403539107777,0.000783770674378292,0.999193189859643
2026-01-15,-0.00267620615160976,0.00394704289967599,-0.00662324905128575,-0.00659720958204735,0.996068474998182
2026-01-16,0.00747629264124403,0.00224011511356595,0.00523617752767809,0.00522447410427662,0.997764891786117
2026-01-19,-0.00107364812642474,0.00197997754542384,-0.00305362567184858,-0.00304759150909306,0.998023935018902
2026-01-20,-0.00464572376269633,-0.0088652842709043,0.00421956050820797,0.0042573027069317,1.00894458051978
2026-01-21,-0.00515322059636031,0.00455521840609377,-0.00970843900245408,-0.00966441547917896,0.995465437516372
2026-01-22,0.00528496229106522,0.0058016694731494,-0.000516707182084181,-0.000513726709516105,0.994231795741537
2026-01-23,0.00352204272255308,0.00222569618001253,0.00129634654254055,0.0012934676764742,0.997779246542591
2026-01-26,-0.0152956338633069,0.00172075117866148,-0.0170163850419684,-0.0169871543760538,0.9982822047196
2026-01-27,0.0151586313658335,0.00925670454964839,0.00590192681618508,0.00584779550096592,0.990828196128981
2026-01-28,0.00236023568972647,0.00402163337044425,-0.00166139768071778,-0.00165474291140555,0.995994475380899
2026-01-29,0.00175463992849896,0.00122495566038938,0.00052968426810958,0.000529036222194579,0.998776543020025
2026-01-30,-0.000322783091731925,-0.00293046327523316,0.00260768018350124,0.00261534435408284,1.00293907612985
2026-02-02,-0.015027097056774,-0.011655801358403,-0.00337129569837103,-0.00341105426935739,1.01179326126912
2026-02-03,0.0254808710400645,0.0145390771867911,0.0109417938532734,0.0107849900504711,0.985669278282422
2026-02-04,-0.00429753131160406,0.00128387658007678,-0.00558140789168083,-0.00557425124106092,0.998717769645437
2026-02-05,-0.0100505094393098,-0.0141869686892423,0.00413645924993255,0.00419598759455719,1.01439113527484
2026-02-06,-0.00971776319646791,0.00447821220848588,-0.0141959754049538,-0.014132686236909,0.995541752768696
2026-02-09,0.0237892587545249,0.0142207750032892,0.00956848375123568,0.00943432040346903,0.985978619888515
2026-02-10,0.00403331424859369,0.0010197865992643,0.0030135276493294,0.00301045762498586,0.998981252306009
2026-02-11,-0.00354822336317034,0.00265162333523858,-0.00619984669840892,-0.0061834505167262,0.997355389176489
2026-02-12,0.00805436502079693,0.00230182271358406,0.00575254230721287,0.00573933138387273,0.997703463506287
2026-02-13,-0.00997627259115617,-0.00127649992171397,-0.0086997726694422,-0.00871089212255471,1.00127813145642
2026-02-19,0.0144824964427449,0.00550171762341583,0.00898077881932911,0.00893163946110009,0.994528385653675
2026-02-20,0.00851500278987066,0.00813328875449802,0.000381714035372637,0.000378634491718932,0.991932327951476
2026-02-23,-0.00114571740147085,-0.00169813788402353,0.000552420482552679,0.000553360164411432,1.0017010264616
2026-02-24,0.00542852965022091,0.00714318518852848,-0.00171465553830758,-0.00170249430619596,0.992907478009477
2026-02-25,0.00291114389316637,0.00878424662373184,-0.00587310273056547,-0.00582196118765921,0.991292244448559
2026-02-26,0.0169706984516576,0.00784385623721738,0.00912684221444025,0.00905580974469156,0.992217190997746
2026-02-27,-0.00249329802476025,-0.00298885608804903,0.00049555806328878,0.00049704365524339,1.00299781612825
2026-03-03,-0.020836480237496,-0.0262334240024336,0.00539694376493758,0.00554233827486716,1.02694015655197
2026-03-04,-0.0322742036138396,-0.0250572400255885,-0.00721696358825112,-0.00740244851753191,1.02570124222086
2026-03-05,0.0276791310471998,0.0191845820042853,0.00849454904291453,0.00833465222384877,0.981176538241411
2026-03-06,-0.000131214680653571,-0.00552386858096701,0.00539265390031344,0.00542260767246261,1.00555455119184
2026-03-09,-0.0246463480674907,-0.0140461030763701,-0.0106002449911206,-0.0107512582730244,1.01424620676506
2026-03-10,0.0221196022183433,0.0162568253805332,0.00586277683781013,0.00576899135276654,0.984003231294981
2026-03-11,0.00387190490667677,0.00198911163636311,0.00188279327031366,0.00187905561891655,0.998014837074231
2026-03-12,-0.0024851571493537,-0.00870848518855752,0.00622332803920382,0.00627799990841993,1.00878498913631
