일자,펀드,펀드명,설정일,펀드유형,펀드 듀레이션,,,,,,BM 듀레이션,,
,,,,,채권,채권파생,채권현금성,채권현금성파생,펀드평가액,펀드순자산,채권,채권현금성,BM전체
2022-10-05,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5576,3.2064,4.4566,4.0166,4.0166,4.0161,3.9711,3.9711,3.9711
2022-10-06,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5548,3.3497,4.451,4.1942,4.1942,4.1959,3.969,3.969,3.969
2022-10-07,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5439,3.3406,4.1886,3.9484,3.9484,3.9486,3.9577,3.9577,3.9577
2022-10-08,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5439,3.3407,4.1886,3.9484,3.9484,3.9486,3.9551,3.9551,3.9551
2022-10-09,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5439,3.3407,4.1886,3.9484,3.9484,3.9486,3.9524,3.9524,3.9524
2022-10-10,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5439,3.3407,4.1885,3.9484,3.9484,3.9486,3.9497,3.9497,3.9497
2022-10-11,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5255,3.324,4.1682,3.93,3.93,3.9302,3.9402,3.9402,3.9402
2022-10-12,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5388,3.3632,4.1783,3.971,3.971,3.9734,3.9527,3.9527,3.9527
2022-10-13,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5263,3.3531,4.1688,3.964,3.964,3.9632,3.9357,3.9357,3.9357
2022-10-14,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5255,3.351,4.1664,3.9602,3.9602,3.9612,3.9349,3.9349,3.9349
2022-10-15,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5255,3.3511,4.1663,3.9602,3.9602,3.9612,3.9323,3.9323,3.9323
2022-10-16,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5255,3.3511,4.1663,3.9602,3.9602,3.9612,3.9296,3.9296,3.9296
2022-10-17,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5129,3.3392,4.1537,3.9483,3.9483,3.9483,3.9238,3.9238,3.9238
2022-10-18,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.5057,3.3329,4.1462,3.9418,3.9418,3.9417,3.9204,3.9204,3.9204
2022-10-19,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.494,3.3232,4.1349,3.9328,3.9328,3.9323,3.9095,3.9095,3.9095
2022-10-20,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4881,3.3178,4.1282,3.9265,3.9265,3.9267,3.9033,3.9033,3.9033
2022-10-21,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4754,3.308,4.1133,3.9152,3.9152,3.914,3.8889,3.8889,3.8889
2022-10-22,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4755,3.308,4.1133,3.9152,3.9152,3.914,3.8862,3.8862,3.8862
2022-10-23,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4755,3.3081,4.1133,3.9152,3.9152,3.914,3.8836,3.8836,3.8836
2022-10-24,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4754,3.3067,4.1086,3.9092,3.9092,3.9103,3.8899,3.8899,3.8899
2022-10-25,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4844,3.3123,4.1168,3.9135,3.9135,3.9157,3.902,3.902,3.902
2022-10-26,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4849,3.3114,4.1188,3.9137,3.9137,3.915,3.903,3.903,3.903
2022-10-27,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4792,3.3063,4.1142,3.9097,3.9097,3.9099,3.8977,3.8977,3.8977
2022-10-28,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.487,3.3115,4.1198,3.9124,3.9124,3.9142,3.9069,3.9069,3.9069
2022-10-29,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.487,3.3115,4.1198,3.9124,3.9124,3.9142,3.9042,3.9042,3.9042
2022-10-30,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.487,3.3115,4.1197,3.9124,3.9124,3.9142,3.9015,3.9015,3.9015
2022-10-31,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4749,3.3003,4.1083,3.9018,3.9018,3.902,3.9013,3.9013,3.9013
2022-11-01,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4795,3.3035,4.111,3.903,3.903,3.9042,3.9073,3.9073,3.9073
2022-11-02,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4761,3.3,4.1083,3.9002,3.9002,3.9008,3.9031,3.9031,3.9031
2022-11-03,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4678,3.2925,4.1006,3.8932,3.8932,3.8934,3.8949,3.8949,3.8949
2022-11-04,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.466,3.2907,4.0975,3.8902,3.8902,3.8907,3.8933,3.8933,3.8933
2022-11-05,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.466,3.2907,4.0975,3.8902,3.8902,3.8907,3.8906,3.8906,3.8906
2022-11-06,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.466,3.2907,4.0974,3.8902,3.8902,3.8907,3.8879,3.8879,3.8879
2022-11-07,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4531,3.2788,4.0838,3.8776,3.8776,3.8777,3.8801,3.8801,3.8801
2022-11-08,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4514,3.2767,4.0809,3.8744,3.8744,3.8752,3.8772,3.8772,3.8772
2022-11-09,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4527,3.2773,4.0812,3.8739,3.8739,3.8749,3.8777,3.8777,3.8777
2022-11-10,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.458,3.2805,4.0856,3.8759,3.8759,3.8776,3.8813,3.8813,3.8813
2022-11-11,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.47,3.2897,4.0938,3.8812,3.8812,3.883,3.888,3.888,3.888
2022-11-12,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.47,3.2897,4.0938,3.8811,3.8811,3.883,3.8853,3.8853,3.8853
2022-11-13,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.47,3.2898,4.0937,3.8811,3.8811,3.883,3.8826,3.8826,3.8826
2022-11-14,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.459,3.2793,4.0829,3.8709,3.8709,3.8712,3.8774,3.8774,3.8774
2022-11-15,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4633,3.2824,4.0854,3.872,3.872,3.8732,3.8869,3.8869,3.8869
2022-11-16,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4561,3.276,4.0791,3.8665,3.8665,3.8668,3.8783,3.8783,3.8783
2022-11-17,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.455,3.2737,4.0772,3.8633,3.8633,3.8645,3.8787,3.8787,3.8787
2022-11-18,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4553,3.2728,4.0776,3.8623,3.8623,3.8635,3.8822,3.8822,3.8822
2022-11-19,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4553,3.2728,4.0776,3.8623,3.8623,3.8635,3.8795,3.8795,3.8795
2022-11-20,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4553,3.2728,4.0775,3.8622,3.8622,3.8635,3.8767,3.8767,3.8767
2022-11-21,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4475,3.2639,4.0697,3.8529,3.8529,3.8542,3.8761,3.8761,3.8761
2022-11-22,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4436,3.2603,4.0661,3.8497,3.8497,3.8502,3.8733,3.8733,3.8733
2022-11-23,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4457,3.2619,4.0626,3.8459,3.8459,3.8467,3.8708,3.8708,3.8708
2022-11-24,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4534,3.2669,4.0684,3.8487,3.8487,3.8508,3.8796,3.8796,3.8796
2022-11-25,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4522,3.266,4.0676,3.8482,3.8482,3.8488,3.8779,3.8779,3.8779
2022-11-26,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4522,3.2661,4.0675,3.8482,3.8482,3.8488,3.8752,3.8752,3.8752
2022-11-27,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4522,3.2661,4.0675,3.8482,3.8482,3.8488,3.8725,3.8725,3.8725
2022-11-28,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4448,3.2581,4.0584,3.8385,3.8385,3.8396,3.8725,3.8725,3.8725
2022-11-29,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4378,3.2525,4.0516,3.8333,3.8333,3.8334,3.8633,3.8633,3.8633
2022-11-30,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4341,3.2494,4.0465,3.8287,3.8287,3.8293,3.8659,3.8659,3.8659
2022-12-01,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.4332,3.2484,4.044,3.8264,3.8264,3.8271,3.8652,3.8652,3.8652
2022-12-02,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9767,3.7568,3.9659,3.7465,3.7465,3.7482,3.8681,3.8681,3.8681
2022-12-03,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9767,3.7568,3.9659,3.7466,3.7466,3.7483,3.8654,3.8654,3.8654
2022-12-04,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9767,3.7568,3.966,3.7466,3.7466,3.7483,3.8627,3.8627,3.8627
2022-12-05,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9702,3.8581,3.9604,3.8486,3.8486,3.8496,3.8637,3.8637,3.8637
2022-12-06,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9688,3.856,3.9592,3.8467,3.8467,3.8479,3.8604,3.8604,3.8604
2022-12-07,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9647,3.852,3.9555,3.8431,3.8431,3.844,3.8558,3.8558,3.8558
2022-12-08,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.962,3.8493,3.9529,3.8404,3.8404,3.8414,3.8516,3.8516,3.8516
2022-12-09,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9591,3.9545,3.9448,3.9403,3.9403,3.9416,3.8732,3.8732,3.8732
2022-12-10,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.959,3.9545,3.9448,3.9403,3.9403,3.9416,3.8705,3.8705,3.8705
2022-12-11,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.959,3.9545,3.9448,3.9403,3.9403,3.9416,3.8679,3.8679,3.8679
2022-12-12,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9601,3.9557,3.9462,3.9418,3.9418,3.9427,3.9541,3.9541,3.9541
2022-12-13,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9568,3.9527,3.9429,3.9388,3.9388,3.9396,3.9548,3.9548,3.9548
2022-12-14,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9602,3.9558,3.9462,3.9418,3.9418,3.9427,3.9583,3.9583,3.9583
2022-12-15,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9595,4.0638,3.9455,4.0494,4.0494,4.0502,3.9572,3.9572,3.9572
2022-12-16,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9579,4.062,3.9437,4.0475,4.0475,4.0485,3.9559,3.9559,3.9559
2022-12-17,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9579,4.062,3.9437,4.0474,4.0474,4.0485,3.9532,3.9532,3.9532
2022-12-18,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9579,4.0619,3.9437,4.0474,4.0474,4.0485,3.9505,3.9505,3.9505
2022-12-19,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9486,4.053,3.9346,4.0385,4.0385,4.0396,3.9474,3.9474,3.9474
2022-12-20,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9342,4.0385,3.9202,4.0241,4.0241,4.0259,3.9298,3.9298,3.9298
2022-12-21,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9359,4.0401,3.9227,4.0266,4.0266,4.0273,3.9315,3.9315,3.9315
2022-12-22,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9421,4.0462,3.9256,4.0293,4.0293,4.0301,3.9352,3.9352,3.9352
2022-12-23,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9349,4.039,3.9182,4.0219,4.0219,4.0232,3.9258,3.9258,3.9258
2022-12-24,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9349,4.039,3.9182,4.0218,4.0218,4.0232,3.9231,3.9231,3.9231
2022-12-25,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9349,4.0389,3.9182,4.0218,4.0218,4.0232,3.9204,3.9204,3.9204
2022-12-26,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9216,4.0257,3.9052,4.0089,4.0089,4.0101,3.9117,3.9117,3.9117
2022-12-27,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9219,4.0258,3.9057,4.0092,4.0092,4.0102,3.9114,3.9114,3.9114
2022-12-28,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9154,4.0193,3.8992,4.0027,4.0027,4.0039,3.9029,3.9029,3.9029
2022-12-29,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9095,4.0133,3.8936,3.9969,3.9969,3.9983,3.8967,3.8967,3.8967
2022-12-30,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9068,4.0106,3.8909,3.9942,3.9942,3.9955,3.8941,3.8941,3.8941
2022-12-31,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9068,4.0106,3.8909,3.9942,3.9942,3.9955,3.8914,3.8914,3.8914
2023-01-01,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9068,4.0105,3.8908,3.9942,3.9942,3.9955,3.8887,3.8887,3.8887
2023-01-02,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8987,4.0024,3.8799,3.9832,3.9832,3.9845,3.8899,3.8899,3.8899
2023-01-03,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9041,4.0078,3.8856,3.9888,3.9888,3.9893,3.897,3.897,3.897
2023-01-04,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9079,4.0114,3.889,3.992,3.992,3.9928,3.9013,3.9013,3.9013
2023-01-05,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9052,4.0085,3.886,3.9888,3.9888,3.9901,3.8985,3.8985,3.8985
2023-01-06,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9025,4.0058,3.8835,3.9863,3.9863,3.9874,3.8946,3.8946,3.8946
2023-01-07,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9025,4.0058,3.8835,3.9862,3.9862,3.9874,3.8919,3.8919,3.8919
2023-01-08,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9025,4.0057,3.8835,3.9862,3.9862,3.9874,3.8892,3.8892,3.8892
2023-01-09,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9027,4.006,3.8846,3.9874,3.9874,3.9871,3.8975,3.8975,3.8975
2023-01-10,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9001,4.0033,3.8814,3.9841,3.9841,3.9845,3.8936,3.8936,3.8936
2023-01-11,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.903,4.0062,3.8843,3.9871,3.9871,3.9869,3.8971,3.8971,3.8971
2023-01-12,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9003,4.0034,3.8811,3.9837,3.9837,3.9842,3.8917,3.8917,3.8917
2023-01-13,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9054,4.0085,3.8864,3.989,3.989,3.9889,3.8966,3.8966,3.8966
2023-01-14,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9054,4.0085,3.8864,3.9889,3.9889,3.9889,3.8939,3.8939,3.8939
2023-01-15,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.9054,4.0084,3.8863,3.9889,3.9889,3.9889,3.8912,3.8912,3.8912
2023-01-16,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8913,3.9944,3.8719,3.9744,3.9744,3.9752,3.8847,3.8847,3.8847
2023-01-17,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8839,3.9869,3.8648,3.9673,3.9673,3.968,3.8881,3.8881,3.8881
2023-01-18,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8891,3.992,3.8703,3.9727,3.9727,3.9727,3.8937,3.8937,3.8937
2023-01-19,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8924,3.9953,3.8732,3.9756,3.9756,3.9756,3.899,3.899,3.899
2023-01-20,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8863,3.989,3.8666,3.9689,3.9689,3.9697,3.8971,3.8971,3.8971
2023-01-21,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8862,3.989,3.8666,3.9689,3.9689,3.9696,3.8944,3.8944,3.8944
2023-01-22,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8862,3.989,3.8666,3.9688,3.9688,3.9696,3.8917,3.8917,3.8917
2023-01-23,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8862,3.989,3.8666,3.9688,3.9688,3.9696,3.889,3.889,3.889
2023-01-24,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8862,3.9889,3.8666,3.9688,3.9688,3.9696,3.8863,3.8863,3.8863
2023-01-25,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.88,3.9828,3.8566,3.9587,3.9587,3.9591,3.8904,3.8904,3.8904
2023-01-26,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8772,3.9799,3.8536,3.9557,3.9557,3.9563,3.8863,3.8863,3.8863
2023-01-27,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8712,3.9739,3.8476,3.9497,3.9497,3.9505,3.8796,3.8796,3.8796
2023-01-28,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8712,3.9739,3.8476,3.9497,3.9497,3.9505,3.8769,3.8769,3.8769
2023-01-29,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8712,3.9739,3.8476,3.9497,3.9497,3.9505,3.8742,3.8742,3.8742
2023-01-30,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8662,3.9688,3.8429,3.9449,3.9449,3.9453,3.8766,3.8766,3.8766
2023-01-31,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8605,3.963,3.8372,3.9392,3.9392,3.9398,3.877,3.877,3.877
2023-02-01,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8607,3.9632,3.8377,3.9396,3.9396,3.9398,3.8798,3.8798,3.8798
2023-02-02,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8605,3.963,3.7944,3.8951,3.8951,3.8953,3.8797,3.8797,3.8797
2023-02-03,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8627,3.965,3.7965,3.8971,3.8971,3.8972,3.883,3.883,3.883
2023-02-04,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8626,3.965,3.7965,3.8971,3.8971,3.8972,3.8803,3.8803,3.8803
2023-02-05,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8626,3.965,3.7965,3.8971,3.8971,3.8972,3.8776,3.8776,3.8776
2023-02-06,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8446,3.9469,3.7781,3.8786,3.8786,3.8798,3.8626,3.8626,3.8626
2023-02-07,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8429,3.9451,3.7771,3.8776,3.8776,3.8781,3.8599,3.8599,3.8599
2023-02-08,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8388,3.941,3.7731,3.8736,3.8736,3.8741,3.856,3.856,3.856
2023-02-09,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8325,3.9347,3.7669,3.8673,3.8673,3.8681,3.8489,3.8489,3.8489
2023-02-10,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8307,3.9328,3.7654,3.8658,3.8658,3.8662,3.8469,3.8469,3.8469
2023-02-11,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8307,3.9328,3.7654,3.8658,3.8658,3.8662,3.8442,3.8442,3.8442
2023-02-12,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8307,3.9328,3.7654,3.8658,3.8658,3.8662,3.8415,3.8415,3.8415
2023-02-13,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8189,3.9211,3.7537,3.8541,3.8541,3.8548,3.8372,3.8372,3.8372
2023-02-14,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8183,3.9203,3.7533,3.8536,3.8536,3.8541,3.8322,3.8322,3.8322
2023-02-15,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8098,3.9118,3.7447,3.845,3.845,3.8459,3.8197,3.8197,3.8197
2023-02-16,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.8077,3.9097,3.7431,3.8433,3.8433,3.8439,3.8188,3.8188,3.8188
2023-02-17,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.796,3.898,3.7313,3.8316,3.8316,3.8326,3.8058,3.8058,3.8058
2023-02-18,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.796,3.898,3.7313,3.8315,3.8315,3.8326,3.8031,3.8031,3.8031
2023-02-19,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.796,3.898,3.7313,3.8315,3.8315,3.8326,3.8004,3.8004,3.8004
2023-02-20,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.7849,3.8868,3.7208,3.821,3.821,3.8218,3.7961,3.7961,3.7961
2023-02-21,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.7862,3.8881,3.7224,3.8226,3.8226,3.8229,3.8129,3.8129,3.8129
2023-02-22,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.7815,3.8834,3.7175,3.8177,3.8177,3.8184,3.8072,3.8072,3.8072
2023-02-23,9001D,한국투자ACE중장기국공채액티브증권상장지수투자신탁(채권),2017-06-23,채권형,3.7867,3.8887,3.717,3.8172,3.8172,3.8176,3.8074,3.8074,3.8074
