,loss_pct,loss_pct,loss_pct,loss_pct,ge7_ann_pct,ge7_ann_pct,ge7_ann_pct,ge7_ann_pct,n_samples,n_samples,n_samples,n_samples
,BM,SAA,TAA,AP,BM,SAA,TAA,AP,BM,SAA,TAA,AP
1M,29.47,31.01,29.81,29.23,46.69,54.05,54.72,55.91,6586.0,6586.0,6586.0,6586.0
3M,20.0,19.8,18.47,18.15,40.8,55.52,56.98,58.13,6544.0,6544.0,6544.0,6544.0
6M,11.6,11.73,10.49,10.89,34.87,59.59,60.87,63.2,6481.0,6481.0,6481.0,6481.0
1Y,7.35,6.92,6.83,6.73,32.92,59.58,61.79,64.19,6355.0,6355.0,6355.0,6355.0
2Y,3.46,0.59,0.49,1.8,18.35,57.4,58.91,63.2,6103.0,6103.0,6103.0,6103.0
3Y,0.0,0.0,0.0,0.0,8.63,52.93,56.76,59.2,5851.0,5851.0,5851.0,5851.0
5Y,0.0,0.0,0.0,0.0,0.58,68.23,70.94,78.47,5347.0,5347.0,5347.0,5347.0
