순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율,,,,,,,,
19,2022-10-06,07J76,한국투자TDF알아서ETF포커스2040증권투자신탁(혼합-재간접형)(모),재간접,-0.48,999.58,-0.76,999.3,0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,742,082",0,19.97,50.77,999.580694,"3,000,000,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
20,2022-10-06,07J81,한국투자TDF알아서ETF포커스2045증권투자신탁(혼합-재간접형)(모),재간접,-0.63,999.43,-0.82,999.24,0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,291,310",0,17.44,50.77,999.4304367,"3,000,000,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
21,2022-10-06,07J86,한국투자TDF알아서ETF포커스2050증권투자신탁(혼합-재간접형)(모),재간접,-0.79,999.27,-0.89,999.17,0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,997,822,989",0,15.07,50.82,999.2743297,"3,000,000,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
22,2022-10-06,07J91,한국투자TDF알아서ETF포커스2055증권투자신탁(혼합-재간접형)(모),재간접,-0.82,999.24,-0.93,999.13,0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,997,727,858",0,13.17,50.76,999.2426193,"3,000,000,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
23,2022-10-06,07J96,한국투자TDF알아서ETF포커스2060증권투자신탁(혼합-재간접형)(모),재간접,-0.95,999.11,-0.98,999.08,0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,997,319,907",0,11.84,50.71,999.1066357,"3,000,000,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
24,2022-10-06,07M02,한국투자TIF알아서평생소득ETF포커스증권투자신탁(채권혼합-재간접형)(모),재간접,0.02,"1,000.08",-0.48,999.58,0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","3,000,240,382",0,29.98,50.78,"1,000.08","3,000,000,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
25,2022-10-07,07J34,한국투자MySuper알아서성장형증권자투자신탁(혼합-재간접형)(모),재간접,-4.18,996.32,-3.54,996.57,0,0,0,0,0,0,0,"2,700,000,000","2,700,000,000","2,690,056,832",0,0,0.6,996.3173452,"16,200,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
26,2022-10-07,07J41,한국투자MySuper알아서안정형증권자투자신탁(채권혼합-재간접형)(모),재간접,-3.29,997.85,-1.58,998.53,0,0,0,0,0,0,0,"2,700,000,000","2,700,000,000","2,694,205,355",0,0,0.6,997.8538352,"16,200,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
27,2022-10-07,07J66,한국투자TDF알아서ETF포커스2030증권투자신탁(혼합-재간접형)(모),재간접,-0.44,999.32,1.14,"1,000.58",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,997,969,197",0,24.35,32.33,999.3230657,"2,035,218,593",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
28,2022-10-07,07J71,한국투자TDF알아서ETF포커스2035증권투자신탁(혼합-재간접형)(모),재간접,-0.23,999.48,1.33,"1,000.71",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,438,399",0,20.81,30.7,999.4794663,"1,973,423,336",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
29,2022-10-07,07J76,한국투자TDF알아서ETF포커스2040증권투자신탁(혼합-재간접형)(모),재간접,-0.19,999.39,1.43,"1,000.73",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,171,479",0,17.32,32.05,999.390493,"2,175,525,518",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
30,2022-10-07,07J81,한국투자TDF알아서ETF포커스2045증권투자신탁(혼합-재간접형)(모),재간접,-0.05,999.38,1.58,"1,000.82",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,147,313",0,14.38,33.19,999.3824377,"2,366,708,125",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
