순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율,,,,,,,,
20,2022-10-06,3MP02,한국투자MYSUPER알아서 성장형MP,주식형,-6.94,985.97,-7.5,985.37,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","985,966,868,999",0,22.81,0.01,985.966869,"115,091,458",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
21,2022-10-07,1MP30,한국투자TDF알아서ETF포커스2030MP,주식형,-3.2,983.62,-0.9,983.95,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,618,099,071",0,51.67,0.01,983.6180991,"113,430,330",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
22,2022-10-07,1MP35,한국투자TDF알아서ETF포커스2035MP,주식형,-3.2,983.15,-0.97,983.58,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,152,968,145",0,45.15,0.01,983.1529681,"113,484,933",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
23,2022-10-07,1MP40,한국투자TDF알아서ETF포커스2040MP,주식형,-3.17,982.78,-1.04,983.28,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,782,121,172",0,39.58,0.01,982.7821212,"113,559,371",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
24,2022-10-07,1MP45,한국투자TDF알아서ETF포커스2045MP,주식형,-3.12,982.49,-1.1,983.03,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,485,086,004",0,34.55,0.01,982.485086,"113,817,535",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
25,2022-10-07,1MP50,한국투자TDF알아서ETF포커스2050MP,주식형,-3.05,982.26,-1.17,982.82,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,255,696,767",0,29.86,0.01,982.2556968,"113,980,659",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
26,2022-10-07,1MP55,한국투자TDF알아서ETF포커스2055MP,주식형,-3,982.08,-1.23,982.66,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,082,287,794",0,26.11,0.01,982.0822878,"113,872,975",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
27,2022-10-07,1MP60,한국투자TDF알아서ETF포커스2060MP,주식형,-2.97,981.94,-1.27,982.53,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","981,944,698,861",0,23.36,0.01,981.9446989,"113,901,251",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
28,2022-10-07,2MP24,한국투자TIF알아서평생소득ETF포커스MP,주식형,-3.18,984.32,-0.83,984.48,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","984,324,835,703",0,59.72,0.01,984.3248357,"113,847,995",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
29,2022-10-07,3MP01,한국투자MYSUPER알아서 안정형MP,주식형,-2.26,986.29,-0.79,986.17,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","986,289,545,948",0,60.95,0.01,986.2895459,"114,052,412",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
30,2022-10-07,3MP02,한국투자MYSUPER알아서 성장형MP,주식형,-2.94,983.03,-2.38,982.99,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,031,457,864",0,22.76,0.01,983.0314579,"115,091,458",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
31,2022-10-08,1MP30,한국투자TDF알아서ETF포커스2030MP,주식형,0,983.62,0,983.95,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,618,105,504",0,51.67,0.01,983.6181055,"113,430,330",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
32,2022-10-08,1MP35,한국투자TDF알아서ETF포커스2035MP,주식형,0,983.15,0,983.58,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,152,974,581",0,45.15,0.01,983.1529746,"113,484,933",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
33,2022-10-08,1MP40,한국투자TDF알아서ETF포커스2040MP,주식형,0,982.78,0,983.28,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,782,127,612",0,39.58,0.01,982.7821276,"113,559,371",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
34,2022-10-08,1MP45,한국투자TDF알아서ETF포커스2045MP,주식형,0,982.49,0,983.03,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,485,092,459",0,34.55,0.01,982.4850925,"113,817,535",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
35,2022-10-08,1MP50,한국투자TDF알아서ETF포커스2050MP,주식형,0,982.26,0,982.82,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,255,703,232",0,29.86,0.01,982.2557032,"113,980,659",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
36,2022-10-08,1MP55,한국투자TDF알아서ETF포커스2055MP,주식형,0,982.08,0,982.66,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","982,082,294,252",0,26.11,0.01,982.0822943,"113,872,975",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
37,2022-10-08,1MP60,한국투자TDF알아서ETF포커스2060MP,주식형,0,981.94,0,982.53,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","981,944,705,321",0,23.36,0.01,981.9447053,"113,901,251",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
38,2022-10-08,2MP24,한국투자TIF알아서평생소득ETF포커스MP,주식형,0,984.32,0,984.48,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","984,324,842,159",0,59.72,0.01,984.3248422,"113,847,995",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
39,2022-10-08,3MP01,한국투자MYSUPER알아서 안정형MP,주식형,0,986.29,0,986.17,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","986,289,552,416",0,60.95,0.01,986.2895524,"114,052,412",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
40,2022-10-08,3MP02,한국투자MYSUPER알아서 성장형MP,주식형,0,983.03,0,982.99,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,031,464,391",0,22.76,0.01,983.0314644,"115,091,458",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
41,2022-10-09,1MP30,한국투자TDF알아서ETF포커스2030MP,주식형,0,983.62,0,983.95,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,618,111,937",0,51.67,0.01,983.6181119,"113,430,330",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
